Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.04.2019 23:00;13;1;15;17;74
02.04.2019 00:00;14;1;14;14;72
02.04.2019 01:00;14;0;12;13;71
02.04.2019 02:00;14;0;11;12;71
02.04.2019 03:00;14;1;12;13;69
02.04.2019 04:00;14;1;13;14;66
02.04.2019 05:00;16;1;14;15;63
02.04.2019 06:00;18;1;17;18;59
02.04.2019 07:00;19;3;30;35;46
02.04.2019 08:00;21;4;35;42;41
02.04.2019 09:00;24;6;30;39;47
02.04.2019 10:00;25;7;29;40;50
02.04.2019 11:00;24;6;24;34;56
02.04.2019 12:00;24;6;24;34;60
02.04.2019 13:00;25;6;23;32;70
02.04.2019 14:00;28;6;25;34;75
02.04.2019 15:00;29;5;22;30;81
02.04.2019 16:00;31;5;24;32;85
02.04.2019 17:00;33;4;23;30;86
02.04.2019 18:00;34;3;27;31;85
02.04.2019 19:00;32;2;28;30;83
02.04.2019 20:00;32;1;31;32;75
02.04.2019 21:00;33;1;31;34;70
02.04.2019 22:00;34;1;32;34;68
02.04.2019 23:00;35;1;30;32;67
03.04.2019 00:00;36;1;29;30;65
03.04.2019 01:00;35;1;28;29;64
03.04.2019 02:00;35;1;26;27;62
03.04.2019 03:00;34;1;39;41;48
03.04.2019 04:00;35;3;39;43;45
03.04.2019 05:00;35;1;31;32;52
03.04.2019 06:00;36;2;32;35;49
03.04.2019 07:00;42;4;44;50;36
03.04.2019 08:00;46;9;60;73;22
03.04.2019 09:00;54;14;57;79;25
03.04.2019 10:00;56;13;52;72;31
03.04.2019 11:00;51;10;42;57;46
03.04.2019 12:00;48;7;34;45;63
03.04.2019 13:00;43;4;25;31;84
03.04.2019 14:00;42;4;27;32;87
03.04.2019 15:00;42;2;19;23;103
03.04.2019 16:00;47;3;27;32;97
03.04.2019 17:00;42;3;27;31;98
03.04.2019 18:00;43;2;28;32;97
03.04.2019 19:00;40;1;24;25;102
03.04.2019 20:00;41;3;34;38;89
03.04.2019 21:00;42;1;34;36;86
03.04.2019 22:00;44;1;28;29;92
03.04.2019 23:00;48;0;19;19;100
04.04.2019 00:00;48;1;21;22;89
04.04.2019 01:00;48;1;23;24;83
04.04.2019 02:00;51;0;19;19;83
04.04.2019 03:00;51;1;22;23;77
04.04.2019 04:00;51;0;18;19;78
04.04.2019 05:00;46;1;20;21;75
04.04.2019 06:00;45;1;26;27;65
04.04.2019 07:00;46;2;41;45;50
04.04.2019 08:00;47;5;47;55;45
04.04.2019 09:00;47;5;39;47;53
04.04.2019 10:00;46;6;33;42;62
04.04.2019 11:00;44;6;28;37;68
04.04.2019 12:00;38;5;25;33;76
04.04.2019 13:00;33;3;20;25;87
04.04.2019 14:00;31;4;20;26;92
04.04.2019 15:00;26;2;15;19;103
04.04.2019 16:00;27;3;17;21;105
04.04.2019 17:00;26;2;16;19;108
04.04.2019 18:00;22;2;17;19;109
04.04.2019 19:00;22;1;15;16;111
04.04.2019 20:00;27;0;24;24;97
04.04.2019 21:00;35;0;46;47;65
04.04.2019 22:00;38;1;48;50;65
04.04.2019 23:00;36;4;32;38;75
05.04.2019 00:00;37;1;23;25;80
05.04.2019 01:00;36;1;16;17;83
05.04.2019 02:00;35;1;13;14;85
05.04.2019 03:00;36;1;15;16;79
05.04.2019 04:00;37;1;14;15;78
05.04.2019 05:00;39;1;16;17;73
05.04.2019 06:00;39;1;20;22;66
05.04.2019 07:00;40;3;34;38;50
05.04.2019 08:00;50;6;48;57;36
05.04.2019 09:00;50;13;49;70;36
05.04.2019 10:00;51;21;38;70;25
05.04.2019 11:00;44;18;26;54;17
05.04.2019 12:00;43;13;21;42;21
05.04.2019 13:00;51;14;24;45;21
05.04.2019 14:00;46;9;20;34;31
05.04.2019 15:00;39;10;20;36;38
05.04.2019 16:00;41;10;21;37;44
05.04.2019 17:00;42;7;22;33;49
05.04.2019 18:00;42;5;26;34;47
05.04.2019 19:00;41;4;34;39;36
05.04.2019 20:00;43;2;34;36;33
05.04.2019 21:00;46;1;37;38;27
05.04.2019 22:00;41;1;21;22;35
05.04.2019 23:00;40;1;19;20;35
06.04.2019 00:00;41;0;18;19;34
06.04.2019 01:00;41;1;18;19;33
06.04.2019 02:00;42;2;30;34;18
06.04.2019 03:00;44;6;41;51;7
06.04.2019 04:00;43;18;48;75;5
06.04.2019 05:00;38;2;33;36;47
06.04.2019 06:00;38;1;23;24;60
06.04.2019 07:00;41;1;37;39;42
06.04.2019 08:00;44;3;32;36;51
06.04.2019 09:00;50;2;25;28;59
06.04.2019 10:00;53;3;22;26;65
06.04.2019 11:00;57;2;18;22;73
06.04.2019 12:00;53;2;13;15;89
06.04.2019 13:00;47;1;11;13;103
06.04.2019 14:00;45;1;12;14;107
06.04.2019 15:00;43;1;10;12;119
06.04.2019 16:00;39;1;10;11;128
06.04.2019 17:00;34;1;9;11;127
06.04.2019 18:00;35;1;10;12;125
06.04.2019 19:00;41;1;12;13;127
06.04.2019 20:00;42;0;16;17;115
06.04.2019 21:00;37;0;20;21;102
06.04.2019 22:00;38;1;21;22;97
06.04.2019 23:00;39;1;16;17;97
07.04.2019 00:00;42;0;15;16;98
07.04.2019 01:00;45;0;16;16;93
07.04.2019 02:00;45;0;18;19;87
07.04.2019 03:00;44;0;13;14;86
07.04.2019 04:00;43;0;12;12;84
07.04.2019 05:00;43;0;13;14;79
07.04.2019 06:00;43;0;16;17;72
07.04.2019 07:00;44;0;14;15;72
07.04.2019 08:00;44;1;15;17;69
07.04.2019 09:00;46;1;13;14;72
07.04.2019 10:00;48;1;14;16;74
07.04.2019 11:00;45;1;8;10;91
07.04.2019 12:00;43;1;7;8;106
07.04.2019 13:00;38;1;6;7;116
07.04.2019 14:00;35;0;6;7;119
07.04.2019 15:00;31;1;5;6;122
07.04.2019 16:00;31;1;6;7;123
07.04.2019 17:00;31;1;5;6;123
07.04.2019 18:00;33;0;6;7;121
07.04.2019 19:00;31;0;7;8;121
07.04.2019 20:00;29;0;14;14;111
07.04.2019 21:00;30;0;22;22;96
07.04.2019 22:00;35;0;32;33;79
07.04.2019 23:00;36;1;23;24;86
08.04.2019 00:00;38;1;19;20;89
08.04.2019 01:00;36;0;15;15;92
08.04.2019 02:00;37;0;20;21;80
08.04.2019 03:00;36;1;23;24;72
08.04.2019 04:00;37;4;42;49;48
08.04.2019 05:00;38;8;43;54;47
08.04.2019 06:00;41;14;57;79;34
08.04.2019 07:00;43;32;77;125;19
08.04.2019 08:00;47;9;75;88;23
08.04.2019 09:00;53;12;70;88;32
08.04.2019 10:00;59;16;73;97;36
08.04.2019 11:00;54;5;35;43;77
08.04.2019 12:00;43;2;14;16;106
08.04.2019 13:00;36;1;12;14;116
08.04.2019 14:00;31;1;9;11;121
08.04.2019 15:00;29;2;12;14;121
08.04.2019 16:00;30;1;11;14;124
08.04.2019 17:00;34;1;12;14;123
08.04.2019 18:00;34;1;10;11;127
08.04.2019 19:00;38;1;13;14;122
08.04.2019 20:00;52;0;12;12;104
08.04.2019 21:00;37;0;9;10;101
08.04.2019 22:00;28;0;8;8;97
08.04.2019 23:00;22;1;7;8;89
09.04.2019 00:00;16;0;6;7;86
09.04.2019 01:00;15;0;7;8;81
09.04.2019 02:00;15;1;7;7;77
09.04.2019 03:00;16;0;7;7;76
09.04.2019 04:00;16;1;7;8;74
09.04.2019 05:00;16;0;8;8;70
09.04.2019 06:00;17;0;10;11;67
09.04.2019 07:00;18;0;16;16;61
09.04.2019 08:00;20;1;17;18;62
09.04.2019 09:00;20;2;17;19;64
09.04.2019 10:00;21;2;14;17;70
09.04.2019 11:00;22;2;11;13;78
09.04.2019 12:00;23;1;10;13;86
09.04.2019 13:00;30;1;11;13;92
09.04.2019 14:00;32;1;10;12;97
09.04.2019 15:00;28;1;10;12;103
09.04.2019 16:00;33;1;11;12;102
09.04.2019 17:00;33;1;11;14;105
09.04.2019 18:00;27;1;9;10;108
09.04.2019 19:00;23;0;8;9;107
09.04.2019 20:00;20;0;9;10;101
09.04.2019 21:00;16;0;11;11;92
09.04.2019 22:00;15;0;12;12;88
09.04.2019 23:00;14;0;12;12;86
10.04.2019 00:00;15;0;12;12;83
10.04.2019 01:00;16;0;12;13;78
10.04.2019 02:00;17;0;12;12;74
10.04.2019 03:00;18;0;12;12;69
10.04.2019 04:00;19;0;13;13;63
10.04.2019 05:00;20;0;18;18;55
10.04.2019 06:00;20;1;19;20;51
10.04.2019 07:00;23;2;35;38;33
10.04.2019 08:00;29;14;55;77;13
10.04.2019 09:00;34;17;49;75;24
10.04.2019 10:00;32;9;34;47;41
10.04.2019 11:00;30;5;24;32;54
10.04.2019 12:00;30;5;19;27;63
10.04.2019 13:00;28;3;14;19;73
10.04.2019 14:00;21;2;8;11;91
10.04.2019 15:00;20;2;7;10;96
10.04.2019 16:00;20;1;8;11;93
10.04.2019 17:00;21;2;10;14;88
10.04.2019 18:00;21;1;10;12;89
10.04.2019 19:00;18;1;12;13;89
10.04.2019 20:00;17;1;12;14;88
10.04.2019 21:00;18;1;14;15;84
10.04.2019 22:00;17;0;13;13;80
10.04.2019 23:00;16;0;10;11;74
11.04.2019 00:00;15;0;8;9;72
11.04.2019 01:00;14;0;7;7;72
11.04.2019 02:00;13;0;6;6;71
11.04.2019 03:00;12;0;5;6;70
11.04.2019 04:00;11;0;6;7;66
11.04.2019 05:00;11;0;6;7;66
11.04.2019 06:00;10;0;8;9;66
11.04.2019 07:00;11;1;22;23;49
11.04.2019 08:00;13;3;26;30;46
11.04.2019 09:00;15;6;20;29;56
11.04.2019 10:00;12;2;10;13;69
11.04.2019 11:00;11;2;9;11;75
11.04.2019 12:00;10;2;10;12;79
11.04.2019 13:00;8;1;9;10;81
11.04.2019 14:00;9;1;10;12;78
11.04.2019 15:00;13;1;11;13;75
11.04.2019 16:00;12;2;13;15;73
11.04.2019 17:00;11;2;14;17;70
11.04.2019 18:00;12;2;14;17;67
11.04.2019 19:00;11;1;14;15;68
11.04.2019 20:00;12;0;11;12;67
11.04.2019 21:00;12;0;11;11;69
11.04.2019 22:00;11;0;10;10;72
11.04.2019 23:00;10;0;9;9;73
12.04.2019 00:00;8;0;7;7;75
12.04.2019 01:00;7;0;6;6;75
12.04.2019 02:00;9;0;7;7;70
12.04.2019 03:00;10;0;7;7;66
12.04.2019 04:00;11;0;8;8;62
12.04.2019 05:00;11;0;9;9;58
12.04.2019 06:00;11;0;11;11;54
12.04.2019 07:00;11;1;18;19;47
12.04.2019 08:00;11;2;24;27;45
12.04.2019 09:00;12;2;21;23;51
12.04.2019 10:00;10;2;16;19;61
12.04.2019 11:00;10;2;11;14;69
12.04.2019 12:00;10;2;10;13;71
12.04.2019 13:00;11;;;;
12.04.2019 14:00;13;2;11;13;71
12.04.2019 15:00;15;2;12;15;72
12.04.2019 16:00;15;1;12;14;74
12.04.2019 17:00;15;2;13;16;71
12.04.2019 18:00;15;1;12;14;72
12.04.2019 19:00;17;1;12;14;68
12.04.2019 20:00;17;1;13;14;64
12.04.2019 21:00;18;1;14;16;60
12.04.2019 22:00;16;1;12;13;63
12.04.2019 23:00;16;0;14;15;59
13.04.2019 00:00;16;0;15;15;57
13.04.2019 01:00;16;0;14;14;57
13.04.2019 02:00;15;0;12;12;59
13.04.2019 03:00;16;0;11;11;58
13.04.2019 04:00;17;0;11;11;56
13.04.2019 05:00;19;0;11;11;57
13.04.2019 06:00;19;1;10;11;59
13.04.2019 07:00;20;1;12;13;59
13.04.2019 08:00;19;1;11;12;64
13.04.2019 09:00;19;1;10;11;68
13.04.2019 10:00;19;1;9;10;69
13.04.2019 11:00;20;1;9;11;70
13.04.2019 12:00;21;1;9;11;71
13.04.2019 13:00;21;1;8;9;80
13.04.2019 14:00;21;1;8;9;86
13.04.2019 15:00;23;1;9;11;82
13.04.2019 16:00;25;1;9;10;83
13.04.2019 17:00;24;1;8;9;84
13.04.2019 18:00;23;1;9;11;82
13.04.2019 19:00;23;1;9;10;81
13.04.2019 20:00;23;0;10;11;79
13.04.2019 21:00;24;0;12;12;71
13.04.2019 22:00;23;0;11;11;67
13.04.2019 23:00;19;0;9;9;64
14.04.2019 00:00;19;0;9;10;62
14.04.2019 01:00;20;0;9;10;61
14.04.2019 02:00;20;0;10;10;61
14.04.2019 03:00;21;0;9;10;61
14.04.2019 04:00;21;0;7;7;64
14.04.2019 05:00;19;0;6;7;64
14.04.2019 06:00;17;0;6;7;64
14.04.2019 07:00;17;0;7;7;63
14.04.2019 08:00;16;0;7;8;63
14.04.2019 09:00;14;1;7;8;61
14.04.2019 10:00;16;1;8;9;60
14.04.2019 11:00;19;1;9;11;58
14.04.2019 12:00;20;1;10;12;59
14.04.2019 13:00;21;1;10;12;60
14.04.2019 14:00;22;1;12;15;57
14.04.2019 15:00;21;2;9;11;68
14.04.2019 16:00;20;1;8;10;78
14.04.2019 17:00;20;1;8;9;80
14.04.2019 18:00;20;1;8;9;80
14.04.2019 19:00;22;1;11;13;77
14.04.2019 20:00;22;0;15;16;70
14.04.2019 21:00;21;0;13;14;69
14.04.2019 22:00;18;0;10;10;75
14.04.2019 23:00;18;0;11;11;71
15.04.2019 00:00;18;0;13;13;67
15.04.2019 01:00;18;0;14;14;63
15.04.2019 02:00;18;0;16;16;59
15.04.2019 03:00;17;0;15;15;59
15.04.2019 04:00;20;0;15;16;57
15.04.2019 05:00;18;0;14;14;55
15.04.2019 06:00;16;1;18;19;51
15.04.2019 07:00;16;1;30;32;40
15.04.2019 08:00;18;5;36;43;37
15.04.2019 09:00;18;3;20;25;57
