Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

24.03.2011 00:00;3;31;35;53;1.0;1.4
24.03.2011 01:00;2;21;24;57;0.6;1.0
24.03.2011 02:00;2;22;25;56;0.5;0.8
24.03.2011 03:00;1;19;20;63;0.5;0.7
24.03.2011 04:00;1;21;23;58;0.5;0.6
24.03.2011 05:00;1;22;24;55;0.4;0.9
24.03.2011 06:00;3;22;27;59;0.4;0.7
24.03.2011 07:00;4;28;34;54;0.5;1.2
24.03.2011 08:00;8;35;47;46;0.6;1.8
24.03.2011 09:00;9;29;43;52;0.6;1.6
24.03.2011 10:00;11;28;45;55;0.6;1.7
24.03.2011 11:00;7;21;31;64;0.4;0.9
24.03.2011 12:00;4;16;21;73;0.3;0.8
24.03.2011 13:00;2;16;19;75;0.4;1.2
24.03.2011 14:00;1;14;15;80;0.4;1.0
24.03.2011 15:00;1;14;16;79;0.4;0.9
24.03.2011 16:00;3;18;22;76;0.5;2.0
24.03.2011 17:00;2;17;20;75;0.5;1.8
24.03.2011 18:00;1;20;22;71;0.4;1.0
24.03.2011 19:00;4;32;39;56;0.5;1.3
24.03.2011 20:00;5;45;52;42;0.7;1.8
24.03.2011 21:00;2;39;42;47;1.0;3.5
24.03.2011 22:00;3;34;38;47;2.3;9.8
24.03.2011 23:00;2;29;32;51;0.6;1.7
25.03.2011 00:00;1;17;20;62;0.5;1.5
25.03.2011 01:00;2;17;20;62;0.4;0.9
25.03.2011 02:00;0;14;15;64;0.2;0.5
25.03.2011 03:00;0;14;14;62;0.2;0.5
25.03.2011 04:00;0;12;13;63;0.3;0.5
25.03.2011 05:00;1;15;16;59;0.3;0.5
25.03.2011 06:00;3;39;43;36;0.4;0.6
25.03.2011 07:00;8;63;75;16;0.4;1.7
25.03.2011 08:00;20;67;98;15;0.7;3.8
25.03.2011 09:00;19;64;92;17;0.6;2.5
25.03.2011 10:00;15;55;78;23;0.6;2.0
25.03.2011 11:00;6;39;48;37;0.6;2.0
25.03.2011 12:00;7;36;47;39;0.5;2.1
25.03.2011 13:00;5;28;36;49;0.5;1.6
25.03.2011 14:00;5;27;35;54;0.4;1.2
25.03.2011 15:00;6;24;33;59;0.6;1.8
25.03.2011 16:00;4;21;27;65;0.5;1.4
25.03.2011 17:00;4;26;32;60;0.5;1.4
25.03.2011 18:00;2;28;32;57;0.5;1.8
25.03.2011 19:00;4;34;39;50;0.5;1.4
25.03.2011 20:00;3;33;37;51;0.7;2.1
25.03.2011 21:00;2;32;35;49;0.5;1.0
25.03.2011 22:00;1;26;27;57;0.6;1.1
25.03.2011 23:00;1;16;17;70;0.5;1.1
26.03.2011 00:00;1;15;16;68;0.4;0.9
26.03.2011 01:00;1;12;14;69;0.4;1.0
