Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Benzol;Toluol
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2016 00:00;11;4;31;37;34;0.5;1.6
23.03.2016 01:00;12;2;27;31;33;0.4;0.6
23.03.2016 02:00;11;2;19;22;41;0.4;0.5
23.03.2016 03:00;12;1;20;22;39;0.4;0.5
23.03.2016 04:00;16;1;13;14;42;0.3;0.4
23.03.2016 05:00;17;1;12;14;45;0.3;0.4
23.03.2016 06:00;21;6;19;28;38;0.4;0.4
23.03.2016 07:00;22;6;28;37;30;0.4;0.7
23.03.2016 08:00;18;8;29;41;33;0.4;1.0
23.03.2016 09:00;18;6;25;34;41;0.3;0.6
23.03.2016 10:00;18;7;26;36;45;0.3;0.6
23.03.2016 11:00;18;7;23;34;52;0.4;0.7
23.03.2016 12:00;14;5;19;26;61;0.3;0.4
23.03.2016 13:00;10;2;15;18;69;0.3;0.5
23.03.2016 14:00;11;2;19;22;67;0.3;0.4
23.03.2016 15:00;10;3;18;22;69;0.4;1.1
23.03.2016 16:00;11;3;17;21;68;0.3;0.7
23.03.2016 17:00;11;4;23;28;59;0.4;0.8
23.03.2016 18:00;11;4;29;35;54;0.6;2.0
23.03.2016 19:00;11;5;29;36;51;0.4;0.9
23.03.2016 20:00;12;3;53;58;25;0.5;1.0
23.03.2016 21:00;13;6;56;65;18;0.6;1.1
23.03.2016 22:00;14;4;40;46;23;0.5;0.9
23.03.2016 23:00;14;9;60;73;4;0.5;1.0
24.03.2016 00:00;13;6;38;47;24;0.6;1.6
24.03.2016 01:00;15;3;29;33;29;0.4;0.7
24.03.2016 02:00;18;1;23;25;32;0.4;0.7
24.03.2016 03:00;20;2;22;25;28;0.4;0.5
24.03.2016 04:00;22;4;24;31;23;0.4;0.5
24.03.2016 05:00;23;9;30;43;14;0.4;0.7
24.03.2016 06:00;33;27;43;84;3;0.8;2.1
24.03.2016 07:00;45;11;37;54;10;0.4;1.0
24.03.2016 08:00;35;17;37;62;9;0.6;1.0
24.03.2016 09:00;32;18;33;60;9;0.5;0.9
24.03.2016 10:00;28;23;32;67;10;0.5;1.2
24.03.2016 11:00;28;26;31;70;16;0.5;1.1
24.03.2016 12:00;33;25;34;72;18;0.5;1.2
24.03.2016 13:00;25;16;28;52;29;0.5;0.9
24.03.2016 14:00;24;9;21;35;36;0.4;0.9
24.03.2016 15:00;26;13;22;41;42;0.5;1.4
24.03.2016 16:00;20;4;16;22;60;0.4;0.6
24.03.2016 17:00;20;4;23;29;56;0.4;0.7
24.03.2016 18:00;22;6;31;40;48;0.4;0.9
24.03.2016 19:00;20;8;41;53;39;0.5;1.1
24.03.2016 20:00;25;19;68;97;16;0.8;2.5
24.03.2016 21:00;42;30;80;126;6;1.3;3.5
24.03.2016 22:00;45;22;70;104;13;1.0;2.8
24.03.2016 23:00;46;17;65;91;15;0.9;2.4
25.03.2016 00:00;42;8;53;64;22;0.9;1.8
25.03.2016 01:00;43;4;38;44;34;0.8;1.2
25.03.2016 02:00;41;4;31;38;38;0.8;0.8
25.03.2016 03:00;34;2;25;28;38;0.7;0.8
25.03.2016 04:00;32;3;25;29;35;0.6;0.7
25.03.2016 05:00;32;2;26;29;29;0.6;0.7
25.03.2016 06:00;36;3;28;33;23;0.5;0.8
25.03.2016 07:00;37;4;29;34;20;0.6;1.0
25.03.2016 08:00;38;6;29;37;19;0.6;1.1
25.03.2016 09:00;42;8;27;39;19;0.6;1.0
25.03.2016 10:00;38;8;23;36;25;0.6;1.0
25.03.2016 11:00;34;7;21;32;29;0.5;1.0
25.03.2016 12:00;31;6;20;29;39;0.5;0.8
25.03.2016 13:00;28;4;15;21;45;0.4;0.8
25.03.2016 14:00;25;6;16;25;46;0.5;0.9
25.03.2016 15:00;20;5;16;23;46;0.5;1.1
25.03.2016 16:00;19;5;19;27;45;0.5;1.0
25.03.2016 17:00;16;5;29;36;34;0.5;0.9
25.03.2016 18:00;12;3;23;27;38;0.5;1.0
25.03.2016 19:00;10;2;22;25;40;0.4;0.7
25.03.2016 20:00;12;2;27;30;34;0.4;0.8
25.03.2016 21:00;13;3;26;31;34;0.5;0.8
25.03.2016 22:00;13;3;25;29;33;0.4;0.7
25.03.2016 23:00;15;3;22;27;31;0.5;0.9
26.03.2016 00:00;17;3;18;22;31;0.5;0.8
26.03.2016 01:00;19;1;15;17;32;0.4;0.6
26.03.2016 02:00;21;2;14;17;28;0.4;0.6
26.03.2016 03:00;21;2;14;17;25;0.4;0.6
26.03.2016 04:00;20;3;13;17;24;0.4;0.5
26.03.2016 05:00;20;1;8;11;31;0.4;0.6
26.03.2016 06:00;19;1;10;11;35;0.3;0.5
26.03.2016 07:00;18;2;14;17;36;0.3;0.5
26.03.2016 08:00;15;3;16;20;45;0.4;0.6
26.03.2016 09:00;13;3;10;14;65;0.3;0.6
26.03.2016 10:00;15;2;7;11;64;0.3;0.3
26.03.2016 11:00;15;3;10;15;63;0.3;0.4
26.03.2016 12:00;15;4;14;20;64;0.3;0.6
26.03.2016 13:00;13;4;9;14;76;0.3;0.5
26.03.2016 14:00;14;4;10;17;77;0.3;0.8
26.03.2016 15:00;13;5;10;17;80;0.3;0.6
26.03.2016 16:00;11;3;11;15;84;0.3;0.4
26.03.2016 17:00;11;4;17;23;79;0.3;0.5
26.03.2016 18:00;15;4;21;28;73;0.4;0.7
