Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2018 00:00;25;7;38;49;13
23.03.2018 01:00;20;2;23;25;30
23.03.2018 02:00;15;1;17;17;43
23.03.2018 03:00;15;0;11;10;65
23.03.2018 04:00;16;0;12;11;62
23.03.2018 05:00;16;1;20;20;53
23.03.2018 06:00;16;1;27;28;44
23.03.2018 07:00;17;4;40;45;30
23.03.2018 08:00;16;0;29;29;47
23.03.2018 09:00;17;0;19;19;57
23.03.2018 10:00;18;1;19;20;57
23.03.2018 11:00;18;1;23;25;54
23.03.2018 12:00;18;2;24;28;51
23.03.2018 13:00;19;4;36;42;35
23.03.2018 14:00;17;4;30;36;42
23.03.2018 15:00;18;9;45;58;31
23.03.2018 16:00;20;9;47;60;30
23.03.2018 17:00;21;3;42;46;34
23.03.2018 18:00;21;2;41;44;35
23.03.2018 19:00;28;2;45;47;27
23.03.2018 20:00;26;2;40;43;25
23.03.2018 21:00;24;1;34;36;31
23.03.2018 22:00;23;0;28;29;38
23.03.2018 23:00;25;1;27;28;37
24.03.2018 00:00;23;1;25;26;42
24.03.2018 01:00;20;1;18;20;52
24.03.2018 02:00;20;1;19;20;50
24.03.2018 03:00;17;1;18;20;54
24.03.2018 04:00;17;1;20;21;51
24.03.2018 05:00;16;1;23;24;47
24.03.2018 06:00;18;1;23;24;45
24.03.2018 07:00;18;2;27;30;38
24.03.2018 08:00;19;3;29;34;38
24.03.2018 09:00;19;4;26;32;41
24.03.2018 10:00;18;6;28;37;42
24.03.2018 11:00;19;7;29;41;42
24.03.2018 12:00;20;8;26;38;47
24.03.2018 13:00;18;4;20;26;58
24.03.2018 14:00;19;3;15;19;64
24.03.2018 15:00;19;5;18;26;64
24.03.2018 16:00;21;2;13;17;69
24.03.2018 17:00;28;4;23;29;61
24.03.2018 18:00;31;4;30;37;54
24.03.2018 19:00;34;1;33;35;48
24.03.2018 20:00;46;1;41;43;37
24.03.2018 21:00;47;2;47;49;29
24.03.2018 22:00;39;1;44;46;31
24.03.2018 23:00;39;2;45;47;28
25.03.2018 00:00;35;1;39;41;32
25.03.2018 01:00;35;1;50;52;19
25.03.2018 03:00;;;;;
25.03.2018 04:00;39;17;66;92;3
25.03.2018 05:00;41;12;60;78;4
25.03.2018 06:00;42;20;62;92;2
25.03.2018 07:00;42;29;60;104;2
25.03.2018 08:00;40;27;55;96;3
25.03.2018 09:00;39;30;51;96;8
25.03.2018 10:00;37;15;38;61;25
25.03.2018 11:00;37;10;30;44;38
25.03.2018 12:00;39;8;27;39;48
25.03.2018 13:00;40;6;22;31;63
25.03.2018 14:00;42;4;19;25;77
25.03.2018 15:00;42;4;18;24;88
25.03.2018 16:00;41;3;18;23;94
25.03.2018 17:00;38;3;16;20;97
25.03.2018 18:00;39;2;20;23;95
25.03.2018 19:00;40;1;23;24;89
25.03.2018 20:00;38;0;33;34;76
25.03.2018 21:00;42;1;52;53;52
25.03.2018 22:00;47;1;47;48;50
25.03.2018 23:00;39;1;33;35;61
26.03.2018 00:00;29;0;17;18;71
26.03.2018 01:00;29;4;31;37;53
26.03.2018 02:00;33;2;32;35;46
26.03.2018 03:00;32;0;20;20;55
26.03.2018 04:00;33;5;44;52;28
26.03.2018 05:00;30;5;39;47;34
26.03.2018 06:00;35;8;52;64;24
26.03.2018 07:00;38;33;75;125;4
26.03.2018 08:00;42;45;83;152;3
26.03.2018 09:00;43;30;77;122;8
26.03.2018 10:00;34;10;47;62;23
26.03.2018 11:00;42;19;46;76;21
26.03.2018 12:00;47;23;41;75;22
26.03.2018 13:00;49;17;36;62;24
26.03.2018 14:00;38;3;21;26;34
26.03.2018 15:00;34;3;21;25;44
26.03.2018 16:00;26;3;19;24;58
26.03.2018 17:00;20;3;14;18;67
26.03.2018 18:00;14;3;17;21;71
26.03.2018 19:00;15;2;15;19;68
26.03.2018 20:00;14;0;13;13;67
26.03.2018 21:00;13;0;14;15;63
26.03.2018 22:00;14;1;15;16;59
26.03.2018 23:00;15;1;16;17;54
27.03.2018 00:00;14;0;11;11;61
27.03.2018 01:00;13;1;7;8;67
27.03.2018 02:00;12;0;7;7;71
27.03.2018 03:00;12;0;7;7;71
27.03.2018 04:00;12;0;8;8;65
27.03.2018 05:00;13;1;13;14;59
27.03.2018 06:00;15;2;29;32;45
27.03.2018 07:00;19;13;51;71;20
27.03.2018 08:00;25;21;60;91;7
27.03.2018 09:00;26;28;53;95;20
27.03.2018 10:00;24;19;44;73;39
27.03.2018 11:00;25;23;44;79;40
27.03.2018 12:00;19;17;36;62;53
27.03.2018 13:00;15;8;23;36;70
27.03.2018 14:00;16;10;39;54;57
27.03.2018 15:00;16;6;30;39;64
27.03.2018 16:00;18;8;33;46;61
27.03.2018 17:00;17;8;28;40;66
27.03.2018 18:00;17;7;34;44;61
27.03.2018 19:00;17;4;30;36;61
27.03.2018 20:00;16;2;29;31;58
27.03.2018 21:00;13;1;28;30;59
27.03.2018 22:00;12;1;28;30;59
27.03.2018 23:00;16;1;28;30;55
28.03.2018 00:00;15;1;22;24;60
28.03.2018 01:00;14;1;17;18;63
28.03.2018 02:00;16;1;24;25;54
28.03.2018 03:00;19;1;25;27;51
28.03.2018 04:00;20;1;26;27;50
28.03.2018 05:00;22;1;24;26;49
28.03.2018 06:00;26;1;25;26;43
28.03.2018 07:00;30;2;35;38;30
28.03.2018 08:00;35;8;38;51;23
28.03.2018 09:00;36;7;37;48;20
28.03.2018 10:00;37;6;35;44;23
28.03.2018 11:00;40;7;34;45;24
28.03.2018 12:00;43;5;30;38;27
28.03.2018 13:00;41;7;29;40;27
28.03.2018 14:00;40;9;27;41;29
28.03.2018 15:00;31;4;24;30;40
28.03.2018 16:00;30;5;25;33;41
28.03.2018 17:00;30;5;26;34;40
28.03.2018 18:00;32;3;27;31;39
28.03.2018 19:00;34;3;27;31;40
28.03.2018 20:00;36;1;25;27;41
28.03.2018 21:00;38;1;23;25;43
28.03.2018 22:00;42;1;21;23;41
28.03.2018 23:00;42;1;19;20;42
29.03.2018 00:00;40;1;19;21;39
29.03.2018 01:00;33;0;16;17;40
29.03.2018 02:00;29;1;17;18;38
29.03.2018 03:00;29;1;18;18;35
29.03.2018 04:00;26;1;21;23;31
29.03.2018 05:00;27;2;26;29;24
29.03.2018 06:00;25;4;26;32;21
29.03.2018 07:00;15;8;27;39;19
29.03.2018 08:00;13;7;32;43;27
29.03.2018 09:00;8;6;31;41;51
29.03.2018 10:00;7;7;27;37;60
29.03.2018 11:00;7;5;25;33;61
29.03.2018 12:00;9;7;24;35;64
29.03.2018 13:00;11;7;23;34;64
29.03.2018 14:00;12;8;33;44;55
29.03.2018 15:00;13;9;32;45;55
29.03.2018 16:00;14;6;21;29;66
29.03.2018 17:00;17;5;17;25;68
29.03.2018 18:00;17;4;20;26;66
29.03.2018 19:00;17;6;33;41;52
29.03.2018 20:00;11;5;34;41;49
29.03.2018 21:00;11;7;35;46;47
29.03.2018 22:00;13;4;33;38;50
29.03.2018 23:00;14;5;35;42;46
30.03.2018 00:00;15;6;41;50;37
30.03.2018 01:00;14;7;42;54;39
30.03.2018 02:00;16;4;27;32;48
30.03.2018 03:00;18;6;36;46;40
30.03.2018 04:00;22;5;32;41;37
30.03.2018 05:00;24;3;22;27;45
30.03.2018 06:00;24;1;12;13;57
30.03.2018 07:00;22;2;22;25;51
30.03.2018 08:00;17;1;19;21;57
30.03.2018 09:00;17;2;15;17;66
30.03.2018 10:00;18;2;15;18;67
30.03.2018 11:00;18;5;21;29;64
30.03.2018 12:00;22;8;33;46;52
30.03.2018 13:00;22;8;30;42;57
30.03.2018 14:00;20;4;16;23;71
30.03.2018 15:00;19;4;12;17;81
30.03.2018 16:00;19;2;12;15;85
30.03.2018 17:00;18;2;10;13;86
30.03.2018 18:00;18;1;9;11;88
30.03.2018 19:00;18;1;10;12;86
30.03.2018 20:00;18;1;13;14;82
30.03.2018 21:00;17;1;13;14;78
30.03.2018 22:00;21;1;14;16;72
30.03.2018 23:00;22;1;13;14;73
31.03.2018 00:00;23;0;11;11;71
31.03.2018 01:00;22;0;11;12;66
31.03.2018 02:00;21;0;10;10;64
31.03.2018 03:00;21;0;9;9;63
31.03.2018 04:00;21;0;9;9;64
31.03.2018 05:00;21;0;9;9;64
31.03.2018 06:00;21;0;9;9;63
31.03.2018 07:00;22;0;12;12;61
31.03.2018 08:00;23;1;14;15;59
31.03.2018 09:00;24;0;11;12;60
31.03.2018 10:00;25;1;14;15;59
31.03.2018 11:00;28;2;16;19;59
31.03.2018 12:00;31;2;18;22;58
31.03.2018 13:00;30;3;21;26;57
31.03.2018 14:00;30;2;23;26;58
31.03.2018 15:00;29;2;22;25;55
31.03.2018 16:00;29;1;22;24;57
31.03.2018 17:00;30;1;27;29;50
31.03.2018 18:00;32;1;29;30;43
31.03.2018 19:00;35;1;32;34;37
31.03.2018 20:00;42;4;35;41;30
31.03.2018 21:00;38;6;40;49;23
31.03.2018 22:00;33;3;26;31;34
31.03.2018 23:00;29;5;26;34;39
01.04.2018 00:00;24;9;34;47;37
01.04.2018 01:00;21;8;32;44;44
01.04.2018 02:00;15;9;34;48;46
01.04.2018 03:00;10;12;41;60;44
01.04.2018 04:00;10;10;34;49;49
01.04.2018 05:00;8;9;32;45;52
01.04.2018 06:00;7;9;34;48;50
01.04.2018 07:00;9;8;32;44;52
01.04.2018 08:00;8;11;37;53;50
01.04.2018 09:00;7;12;39;57;47
01.04.2018 10:00;8;12;36;53;45
01.04.2018 11:00;5;12;35;54;43
01.04.2018 12:00;6;7;23;33;52
01.04.2018 13:00;7;7;22;33;55
01.04.2018 14:00;8;5;17;24;61
01.04.2018 15:00;8;7;21;31;61
01.04.2018 16:00;8;4;17;23;65
01.04.2018 17:00;8;6;25;35;61
01.04.2018 18:00;8;8;33;44;57
01.04.2018 19:00;8;4;25;32;66
01.04.2018 20:00;8;7;33;44;62
01.04.2018 21:00;12;10;46;61;51
01.04.2018 22:00;16;11;50;66;49
01.04.2018 23:00;17;10;52;68;45
02.04.2018 00:00;19;7;36;46;50
02.04.2018 01:00;23;12;47;65;40
02.04.2018 02:00;26;5;29;38;62
02.04.2018 03:00;25;9;44;58;48
02.04.2018 04:00;28;8;40;52;52
02.04.2018 05:00;35;8;38;50;54
02.04.2018 06:00;42;5;29;37;55
02.04.2018 07:00;44;6;32;41;50
02.04.2018 08:00;41;5;29;37;53
02.04.2018 09:00;36;7;34;45;52
02.04.2018 10:00;34;9;32;46;58
02.04.2018 11:00;30;8;25;37;63
02.04.2018 12:00;26;9;27;41;68
02.04.2018 13:00;19;5;19;27;84
02.04.2018 14:00;19;5;18;27;89
02.04.2018 15:00;16;5;17;25;93
02.04.2018 16:00;16;4;14;20;96
02.04.2018 17:00;17;4;16;22;96
02.04.2018 18:00;23;2;10;13;104
02.04.2018 19:00;29;2;17;20;98
02.04.2018 20:00;34;1;23;24;91
02.04.2018 21:00;38;1;33;35;77
02.04.2018 22:00;41;1;34;37;71
02.04.2018 23:00;37;1;23;25;80
03.04.2018 00:00;35;1;21;22;78
03.04.2018 01:00;33;1;18;19;78
03.04.2018 02:00;30;1;16;17;78
03.04.2018 03:00;28;0;22;22;68
03.04.2018 04:00;27;1;17;18;66
03.04.2018 05:00;28;1;19;20;58
03.04.2018 06:00;26;3;31;35;43
03.04.2018 07:00;26;13;52;71;23
03.04.2018 08:00;27;34;67;119;10
03.04.2018 09:00;25;29;62;106;16
03.04.2018 10:00;17;24;52;89;24
03.04.2018 11:00;14;15;40;63;35
03.04.2018 12:00;14;10;24;39;54
03.04.2018 13:00;14;9;22;36;62
03.04.2018 14:00;13;5;15;23;72
03.04.2018 15:00;11;3;14;19;78
03.04.2018 16:00;10;6;18;27;78
03.04.2018 17:00;11;5;22;29;75
03.04.2018 18:00;10;3;17;22;80
03.04.2018 19:00;10;3;25;30;73
03.04.2018 20:00;13;5;53;60;46
03.04.2018 21:00;16;5;76;83;21
03.04.2018 22:00;15;2;58;62;36
03.04.2018 23:00;17;2;61;64;31
04.04.2018 00:00;16;1;43;44;47
04.04.2018 01:00;14;1;31;32;57
04.04.2018 02:00;15;1;37;39;45
04.04.2018 03:00;19;0;33;33;45
04.04.2018 04:00;20;2;43;46;31
04.04.2018 05:00;21;3;39;43;34
04.04.2018 06:00;22;4;40;46;29
04.04.2018 07:00;26;10;50;66;19
04.04.2018 08:00;28;30;62;109;12
04.04.2018 09:00;43;34;64;117;20
04.04.2018 10:00;35;12;41;60;50
04.04.2018 11:00;27;10;30;45;62
04.04.2018 12:00;20;13;36;56;63
04.04.2018 13:00;17;7;20;30;83
04.04.2018 14:00;24;7;21;32;85
04.04.2018 15:00;16;7;21;32;87
04.04.2018 16:00;17;6;20;29;90
04.04.2018 17:00;15;5;23;30;90
04.04.2018 18:00;19;3;21;26;88
04.04.2018 19:00;18;4;26;32;83
04.04.2018 20:00;20;2;33;36;74
04.04.2018 21:00;22;2;36;38;69
04.04.2018 22:00;47;2;17;20;84
04.04.2018 23:00;8;2;27;30;69
05.04.2018 00:00;7;3;26;31;68
05.04.2018 01:00;7;2;21;24;66
05.04.2018 02:00;8;1;12;15;68
05.04.2018 03:00;9;1;8;10;67
05.04.2018 04:00;12;1;7;8;68
05.04.2018 05:00;11;2;16;18;60
05.04.2018 06:00;13;3;20;25;54
05.04.2018 07:00;17;16;46;70;29
05.04.2018 08:00;17;18;46;72;28
05.04.2018 09:00;15;14;35;57;40
05.04.2018 10:00;17;9;23;36;55
05.04.2018 11:00;14;6;18;27;66
05.04.2018 12:00;12;6;18;27;72
