Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2017 00:00;21;35;68
23.03.2017 01:00;24;26;62
23.03.2017 02:00;11;27;44
23.03.2017 03:00;14;26;47
23.03.2017 04:00;19;28;57
23.03.2017 05:00;16;26;50
23.03.2017 06:00;24;33;69
23.03.2017 07:00;41;44;106
23.03.2017 08:00;51;55;133
23.03.2017 09:00;61;69;161
23.03.2017 10:00;70;82;189
23.03.2017 11:00;85;75;205
23.03.2017 12:00;62;63;158
23.03.2017 13:00;64;66;164
23.03.2017 14:00;57;62;149
23.03.2017 15:00;46;57;127
23.03.2017 16:00;45;56;125
23.03.2017 17:00;123;97;262
23.03.2017 18:00;73;65;178
23.03.2017 19:00;40;60;122
23.03.2017 20:00;47;57;128
23.03.2017 21:00;27;45;86
23.03.2017 22:00;19;40;69
23.03.2017 23:00;21;45;78
24.03.2017 00:00;23;40;74
24.03.2017 01:00;14;30;51
24.03.2017 02:00;12;28;46
24.03.2017 03:00;6;22;31
24.03.2017 04:00;7;25;36
24.03.2017 05:00;8;27;39
24.03.2017 06:00;14;41;62
24.03.2017 07:00;54;82;164
24.03.2017 08:00;77;82;200
24.03.2017 09:00;65;70;169
24.03.2017 10:00;52;74;155
24.03.2017 11:00;42;61;126
24.03.2017 12:00;31;44;92
24.03.2017 13:00;39;52;112
24.03.2017 14:00;48;62;135
24.03.2017 15:00;24;43;80
24.03.2017 16:00;44;39;105
24.03.2017 17:00;20;41;73
24.03.2017 18:00;26;53;92
24.03.2017 19:00;24;60;96
24.03.2017 20:00;31;84;132
24.03.2017 21:00;45;73;143
24.03.2017 22:00;30;70;116
24.03.2017 23:00;67;105;207
25.03.2017 00:00;27;80;122
25.03.2017 01:00;63;95;191
25.03.2017 02:00;47;59;131
25.03.2017 03:00;34;69;121
25.03.2017 04:00;59;84;174
25.03.2017 05:00;53;79;160
25.03.2017 06:00;24;57;94
25.03.2017 07:00;9;49;62
25.03.2017 08:00;30;63;109
25.03.2017 09:00;22;55;89
25.03.2017 10:00;16;41;65
25.03.2017 11:00;11;32;49
25.03.2017 12:00;11;28;45
25.03.2017 13:00;10;26;42
25.03.2017 14:00;14;29;51
25.03.2017 15:00;13;29;48
25.03.2017 16:00;12;24;42
25.03.2017 17:00;11;27;44
25.03.2017 18:00;7;23;34
25.03.2017 19:00;12;31;49
25.03.2017 20:00;15;36;59
25.03.2017 21:00;11;34;51
25.03.2017 22:00;13;41;60
25.03.2017 23:00;19;48;77
26.03.2017 00:00;13;50;71
26.03.2017 01:00;9;46;59
26.03.2017 03:00;;;
26.03.2017 04:00;11;38;55
26.03.2017 05:00;26;50;90
26.03.2017 06:00;18;40;68
26.03.2017 07:00;41;53;116
26.03.2017 08:00;45;52;122
26.03.2017 09:00;41;54;116
26.03.2017 10:00;37;54;110
26.03.2017 11:00;47;64;135
26.03.2017 12:00;34;52;104
26.03.2017 13:00;32;53;102
26.03.2017 14:00;45;66;135
26.03.2017 15:00;32;50;99
26.03.2017 16:00;65;67;166
